run_category,start_date_converted,start_date_month,year,month,distance_km,name,run_moving_time,run_elapsed_time,total_elevation_gain,achievement_count,kudos_count,comment_count,average_cadence,pr_count,average_heartrate,max_heartrate
Regular,2022-05-24,2022-05-31,2022,5,10.04,Late Lunch,0:51:16,0:51:16,39.0,0,47,2,87.1,0,149.6,171.0
Regular,2022-05-23,2022-05-31,2022,5,5.36,Rough 🤒🤢,0:28:34,0:28:34,26.0,0,44,0,86.6,0,141.6,165.0
Regular,2022-05-20,2022-05-31,2022,5,8.07,Easy 45 ,0:46:14,0:46:14,43.0,0,44,4,85.4,0,136.3,152.0
Regular,2022-05-19,2022-05-31,2022,5,10.02,Lunch out and back,0:51:57,0:52:15,31.0,0,40,0,86.7,0,146.6,161.0
Regular,2022-05-18,2022-05-31,2022,5,15.02,That was nice,1:22:34,1:23:35,102.0,0,48,0,85.7,0,142.9,159.0
Regular,2022-05-16,2022-05-31,2022,5,7.07,Easy recovery ,0:43:30,0:43:30,41.0,0,35,0,83.4,0,129.0,150.0
Regular,2022-05-15,2022-05-31,2022,5,8.53,Easy double,0:50:04,0:50:04,75.0,0,49,1,84.7,0,135.3,157.0
Regular,2022-05-14,2022-05-31,2022,5,22.37,Local big loop,2:05:05,2:06:17,107.0,1,65,0,85.3,0,147.4,166.0
Regular,2022-05-11,2022-05-31,2022,5,14.03,River Loop,1:15:21,1:16:36,94.0,5,44,3,88.0,0,147.5,175.0
Regular,2022-05-11,2022-05-31,2022,5,10.02,Now not race week jog,0:57:55,0:58:01,39.0,0,47,3,84.6,0,136.1,160.0
Regular,2022-05-10,2022-05-31,2022,5,5.07,Race week jogging,0:29:59,0:29:59,25.0,0,41,0,84.9,0,130.7,148.0
Regular,2022-05-08,2022-05-31,2022,5,24.26,Sunday long run (inc Wings for Life),2:09:15,2:14:29,149.0,2,60,3,86.8,0,147.8,171.0
Regular,2022-05-06,2022-05-31,2022,5,6.05,PM shakeout,0:35:11,0:35:19,35.0,0,38,0,84.7,0,134.3,152.0
